Company Name,Website,Phone,Industry,Company Size,Headquarters,Type,Founded,Location,Specialties
IFC - International Finance Corporation,http://www.ifc.org,,Financial Services,"1,001-5,000 employees","Washington, DC",Privately Held,,,"IFC Investment Services, IFC Advisory Services, IFC Asset Management Company, private sector development, development finance, private equity, and resource mobilization"
Catalyst Business Solutions,https://www.catalyst-us.com/,,Information Technology & Services,51-200 employees,"San Jose, California",Privately Held,2002,,"Oracle Netsuite, Fusion, PBCS, eBusiness Suite, Hyperion Planning, Middleware, Technology, Hardware, Education, Cyber-security, Internet of Things, Africa, French, English, Arabic, True Cloud, and Cloud"
IOTA GROUP,http://www.iota-group.com,,Oil & Energy,"1,001-5,000 employees",,Sole Proprietorship,1982,,"Consulting Services, Sponsorship, Global Mobility Management, Project Assistance, Training Services, In country value, Talent Resourcing, Gateway Services, oil & gas, Nuclear, Construction, Power, Mining, and Telecommunication"
TRUST AFRICA,http://www.trustafrica-emploi.com,654400001,Human Resources,11-50 employees,"Kaloum, Conakry",Privately Held,,"Kaloum, Conakry BP 2268, GN","Facility Management, Service à la personne, Recrutement, Intérim, Formation, and Ressources Humaines"
Aldelia,http://www.aldelia.com/,,Staffing & Recruiting,"501-1,000 employees","Londres, Angleterre",Privately Held,2005,,"Global Talent Management, International Payroll & Taxation Management, Workforce Mobilisation Support Services, HR RPO & Managed Service Programmes, Senior Executive Search & Selection, Global recruitment, International talents, C-Level, Top and Middle Management, Portage salarial, Training services, Local Resourcing & Expat & Diaspora Recruitment Services, Outsourcing, Local Content, Employability, and HR Tech"
Recrutement Guinée,http://www.recrutementguinee.com,656 05 41 05,Human Resources,2-10 employees,"Conakry, Conakry",Privately Held,2016,"Dixinn , Conakry, Conakry GN","Ressources Humaines , Formation , Produit e-recrutement (Offre d'emploi / Accés CVthèque)."
Human Capital and Benefits,https://www.willistowerswatson.com/en,,Human Resources,,,,,,
Guinea Alumina Corporation S.A.,http://www.gacguinee.com,,Mining & Metals,"501-1,000 employees","Conakry, Kamsar et Tinguilinta, Conakry",Public Company,2001,"Siege: Taouyah, Ratoma – Conakry, Conakry, Kamsar et Tinguilinta, Conakry 5090, GN",Bauxite and Alumine
MTN Guinée,http://www.mtn.com.gn,660222222,Telecommunications,201-500 employees,"Conakry, Guinea",Public Company,2006,"Conakry, Guinea BP3237, GN","Telecom Mobile Services: Voice, SMS, MMS, GPRS/EDGE, VAS applications and contents, and Broadband Services"
Compagnie des Bauxites de Guinee (CBG),http://www.cbg-guinee.com,,Mining & Metals,"1,001-5,000 employees","Kamsar, Guinée/Boké/Kamsar",Privately Held,1963,"Kamsar, Guinée/Boké/Kamsar BP523, GN",Bauxite
LafargeHolcim Guinée (Ciment de Guinée),http://www.lafargeholcim-gn.com/,2.25E+11,Building Materials,201-500 employees,"Conakry, Guinée",Public Company,1988,"Usine de la Cimenterie , Conakry, Guinée BP 3621, GN",Production de la meilleure qualité de ciment en Guinée
AGUIPE Guinée,http://www.aguipegn.com/,,Government Administration,201-500 employees,"Conakry, Guinée",Government Agency,1989,"Almamya, Kaloum, Conakry, Guinée BP:100 , GN","Recrutement, Mise à l'emploi, and Conseils aux employeurs"
Agence de Promotion des Investissements Privés,http://www.apip.gov.gn,,Government Administration,51-200 employees,,Government Agency,2008,"252, Rue KA 022, Boulbinet, Conakry, 2024, GN","Création et Développement d’Entreprise, Promotion des Investissements, and Assistance Technique et Suivi"
UBA GUINEE,https://www.ubaguinea.com,00224 629 46 36 96,Banking,51-200 employees,"Conakry, Conakry",Privately Held,2010,"Immeuble Sonoco, KAO32 - Av. William Tumban, Conakry, Conakry 224, GN",Digital Banking
Société Générale Guinée,http://guinee.societegenerale.com/fr,664 888 444,Banking,201-500 employees,"Conakry, Kaloum",Public Company,1985,"Immeuble Boffa Cité chemins de fer-kaloum, Conakry, Kaloum 1514, GN",
Ecobank Guinée,http://www.ecobank.com,664100100,Banking,"501-1,000 employees","Conakry, Conakry",Self-Employed,1999,"Avenue de la république, Kaloum, Conakry, Conakry 224, GN",
Emploi Guinée,https://www.afrimalin.com.gn,22962191683,Staffing & Recruiting,11-50 employees,,Sole Proprietorship,,"dokpomiwaeliezer2@gmail.com, Conakry, GN",
Bel Air Mining S.A.S,http://www.alufermining.com,,Mining & Metals,"501-1,000 employees","Conakry, Conakry",Privately Held,2010,"Dixinn, Conakry, Conakry 4874, GN",Bauxite
ONOMO Hotels,http://www.onomohotel.com,,Hospitality,"501-1,000 employees",,Self-Employed,2008,,"Hôtellerie, Restauration, Conférences, and Banquets"
CIRA SAS,https://www.cira-sas.com/,22320243234,Civil Engineering,"501-1,000 employees",,Privately Held,1991,,"Infrastructures de transport, Aménagements hydro-agricoles et Développement rural, Approvisionnement en eau et assainissement, Bâtiments civils et industriels, Maîtrise d'ouvrage, Consulting firm, Civil engineering, and Road"
Primature Guinée - Palais de la Colombe,https://www.primature.gov.gn/,,Government Administration,"10,001+ employees","Conakry, Conakry, République de Guinée",Government Agency,,"Boulevard du Commerce-Boulbinet-Kaloum DA 007, Immeuble Palais de la Colombe, Conakry, Conakry, République de Guinée 5141, GN",
